insee_com,lib_com,niveau_centralite
02279,Épaux-Bézu,Communes non centre
02280,Épieds,Communes non centre
02281,L'Épine-aux-Bois,Communes non centre
02282,Eppes,Communes non centre
02283,Erlon,Communes non centre
02284,Erloy,Communes non centre
02286,Esquéhéries,Communes non centre
02287,Essigny-le-Grand,Centre local d'équipements et de services
02288,Essigny-le-Petit,Communes non centre
02289,Essises,Communes non centre
02290,Essômes-sur-Marne,Centre local d'équipements et de services
02291,Estrées,Communes non centre
02292,Étampes-sur-Marne,Centre local d'équipements et de services
02293,Étaves-et-Bocquiaux,Communes non centre
02294,Étouvelles,Communes non centre
02295,Étréaupont,Centre local d'équipements et de services
02296,Étreillers,Centre local d'équipements et de services
